
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-14 20:00:05 /tracking/active-shipments ......................................................... ~ 513.58ms
  2026-05-14 20:00:20 /tracking/active-shipments ......................................................... ~ 512.14ms
  2026-05-14 20:00:35 /tracking/active-shipments ........................................................... ~ 0.59ms
  2026-05-14 20:00:51 /tracking/active-shipments ......................................................... ~ 515.50ms
  2026-05-14 20:01:06 /tracking/active-shipments ......................................................... ~ 511.31ms
  2026-05-14 20:01:21 /tracking/active-shipments ........................................................... ~ 0.45ms
  2026-05-14 20:01:36 /tracking/active-shipments ......................................................... ~ 513.58ms
  2026-05-14 20:01:50 /tracking/active-shipments ......................................................... ~ 515.01ms
  2026-05-14 20:02:05 /tracking/active-shipments ........................................................... ~ 0.56ms
  2026-05-14 20:02:20 /tracking/active-shipments ......................................................... ~ 515.42ms
  2026-05-14 20:02:35 /tracking/active-shipments ......................................................... ~ 521.40ms
  2026-05-14 20:02:51 /tracking/active-shipments ........................................................... ~ 1.18ms
  2026-05-14 20:03:05 /tracking/active-shipments ......................................................... ~ 512.76ms
  2026-05-14 20:03:20 /tracking/active-shipments ......................................................... ~ 511.25ms
  2026-05-14 20:03:35 /tracking/active-shipments ........................................................... ~ 0.54ms
  2026-05-14 20:03:50 /tracking/active-shipments ......................................................... ~ 511.39ms
  2026-05-14 20:04:06 /tracking/active-shipments ......................................................... ~ 515.28ms
  2026-05-14 20:04:21 /tracking/active-shipments ........................................................... ~ 0.46ms
  2026-05-14 20:04:35 /tracking/active-shipments ......................................................... ~ 511.45ms
  2026-05-14 20:04:50 /tracking/active-shipments ......................................................... ~ 515.91ms
  2026-05-14 20:05:05 /tracking/active-shipments ........................................................... ~ 0.77ms
  2026-05-14 20:05:20 /tracking/active-shipments ......................................................... ~ 509.93ms
  2026-05-14 20:05:36 /tracking/active-shipments ........................................................... ~ 0.86ms
  2026-05-14 20:05:50 /tracking/active-shipments ......................................................... ~ 514.67ms
  2026-05-14 20:06:05 /tracking/active-shipments ......................................................... ~ 507.68ms
  2026-05-14 20:06:20 /tracking/active-shipments ........................................................... ~ 0.45ms
  2026-05-14 20:06:36 /tracking/active-shipments ......................................................... ~ 513.88ms
  2026-05-14 20:06:50 /tracking/active-shipments ......................................................... ~ 509.02ms
  2026-05-14 20:07:05 /tracking/active-shipments ........................................................... ~ 0.57ms
  2026-05-14 20:07:20 /tracking/active-shipments ......................................................... ~ 511.18ms
  2026-05-14 20:07:35 /tracking/active-shipments ........................................................... ~ 0.59ms
  2026-05-14 20:07:50 /tracking/active-shipments ........................................................... ~ 0.41ms
  2026-05-14 20:08:05 /tracking/active-shipments ......................................................... ~ 510.45ms
  2026-05-14 20:08:21 /tracking/active-shipments ........................................................... ~ 0.59ms
  2026-05-14 20:08:35 /tracking/active-shipments ........................................................... ~ 0.66ms
  2026-05-14 20:08:50 /tracking/active-shipments ......................................................... ~ 501.13ms
  2026-05-14 20:09:05 /tracking/active-shipments ......................................................... ~ 512.78ms
  2026-05-14 20:09:20 /tracking/active-shipments ........................................................... ~ 0.60ms
  2026-05-14 20:09:35 /tracking/active-shipments ......................................................... ~ 512.81ms
  2026-05-14 20:09:36 /dashboard ............................................................................... ~ 3s
  2026-05-14 20:09:39 /build/assets/app-DZeI3KQg.css ....................................................... ~ 0.36ms
  2026-05-14 20:09:39 /build/assets/app-Chp6bDyy.js ........................................................ ~ 2.45ms
